ID,Name,Sex,Height,Weight,Regions
101666,"Catherine Louise ""Katy"" Rodolph (-Wegeman, -Wyatt)",女,171.0,63.0,{'美国'}
101709,Ana Mara Rodrguez Molina,女,NAN,NAN,{'西班牙'}
101750,Fernando Rodrguez Jurado,男,NAN,NAN,{'阿根廷'}
101779,Jennifer Jill Rodriguez,女,162.0,58.0,{'美国'}
101787,Jorge Rodrguez Jirona,男,167.0,61.0,{'西班牙'}
101845,Ricardo Rodrguez,男,NAN,NAN,{'墨西哥'}
101853,Secundino Rodrguez Rodrguez,男,NAN,NAN,{'西班牙'}
101855,Sophie Rodriguez,女,168.0,57.0,{'法国'}
101876,Isobel Marion Roe,女,NAN,NAN,{'英国'}
101882,Roy Roedger,男,190.0,92.0,{'德国'}
101895,Jeremy Shaffer Roenick,男,183.0,93.0,{'美国'}
101907,Niklas Roest,男,175.0,80.0,{'挪威'}
101911,Frank-Peter Roetsch,男,175.0,70.0,{'德国'}
101917,Diann Roffe-Steinrotter,女,162.0,60.0,{'美国'}
101928,Albin Rogelj,男,NAN,NAN,{'塞尔维亚'}
101929,Rok Rogelj,男,181.0,85.0,{'斯洛文尼亚'}
101930,pela Rogelj,女,164.0,55.0,{'斯洛文尼亚'}
101944,"Neil Robert ""Bob"" Rogers",男,180.0,96.0,{'美国'}
101957,"George Edward Frederick ""John"" Rogers",男,NAN,NAN,{'英国'}
101959,Melville Falkner Rogers,男,183.0,NAN,{'加拿大'}
101979,Bruno Rogger,男,178.0,75.0,{'瑞士'}
101980,"Josef Dyonis ""Sepp"" Rogger",男,NAN,NAN,{'瑞士'}
102001,Rusiate Rogoyawa,男,178.0,85.0,{'斐济'}
102005,Solveig Rogstad,女,175.0,60.0,{'挪威'}
102011,Shauna L. Rohbock,女,173.0,75.0,{'美国'}
102026,Leif Johan Rohlin,男,186.0,91.0,{'瑞典'}
102030,Marcel Rohner,男,191.0,98.0,{'瑞士'}
102040,Jrg Adrian Rohrbach,男,NAN,NAN,{'瑞士'}
102041,Michle Rohrbach,女,159.0,53.0,{'瑞士'}
102043,Fabien Rohrer,男,162.0,60.0,{'瑞士'}
102045,Verena Rohrer,女,169.0,57.0,{'瑞士'}
102048,Petra Rohrmann,女,167.0,59.0,{'德国'}
102051,Peter Rohwein,男,185.0,75.0,{'德国'}
102054,Renate Roider,女,167.0,60.0,{'奥地利'}
102077,Jos Javier Rojas Martnez del Mrmol,男,NAN,NAN,{'西班牙'}
102095,Shawn Joseph Rojeski,男,183.0,79.0,{'美国'}
102096,Johan Alfons Thomas Rjler,男,183.0,82.0,{'瑞典'}
102098,Imanol Rojo,男,178.0,70.0,{'西班牙'}
102106,Anna Natalia Rokita,女,173.0,63.0,{'奥地利'}
102133,"Erik Olof Anders ""Olle"" Roln",男,171.0,78.0,{'瑞典'}
102134,"Barbara Ann Roles (-Pursley, -Williams)",女,NAN,NAN,{'美国'}
102138,Harald Christopher Rasmus Rolfsen,男,196.0,96.0,{'挪威'}
102139,Tnnes Stang Rolfsen,男,180.0,NAN,{'挪威'}
102140,Anne Marjut Astrid Rolig-Lukkarinen,女,162.0,52.5,{'芬兰'}
102142,Tom Rolinek,男,177.0,83.0,{'捷克共和国'}
102157,Kevin Rolland,男,178.0,65.0,{'法国'}
102159,Marion Rolland,女,167.0,77.0,{'法国'}
102161,Patrick Rolland,男,176.0,74.0,{'法国'}
102171,Jeremy Rolleston,男,178.0,98.0,{'澳大利亚'}
102173,Patrick Rlli,男,182.0,76.0,{'瑞士'}
102181,Per Rollum,男,NAN,NAN,{'挪威'}
102189,Brian Lee Rolston,男,188.0,95.0,{'美国'}
102191,Dagmar Rom (-Pays),女,NAN,NAN,{'奥地利'}
102203,Ana Roman,女,165.0,59.0,{'罗马尼亚'}
102209,Horia Roman,男,173.0,NAN,{'罗马尼亚'}
102223,Louis Romand,男,NAN,NAN,{'法国'}
102224,Paul Romand,男,NAN,NAN,{'法国'}
102228,Viktor Romanenkov,男,181.0,63.0,{'爱沙尼亚'}
102233,Fides Romanin,女,177.0,68.0,{'意大利'}
102234,Samuele Romanini,男,187.0,105.0,{'意大利'}
102236,Constantin Romaniuc,男,NAN,NAN,{'罗马尼亚'}
102245,Freddy Romano,男,178.0,70.0,{'意大利'}
102256,Oleg Konstantinovich Romanov,男,182.0,85.0,{'白俄罗斯'}
102259,Iryna Romanova,女,168.0,54.0,{'乌克兰'}
102260,Yana Sergeyevna Romanova,女,166.0,61.0,{'俄罗斯'}
102271,Andreas Romar,男,190.0,91.0,{'芬兰'}
102279,Aleksey Gennadyevich Romashov,男,175.0,64.0,{'俄罗斯'}
102280,Olga Vladimirovna Romasko,女,168.0,60.0,{'俄罗斯'}
102281,Erich Romauch,男,NAN,NAN,{'奥地利'}
102288,Linda Rombouts,女,NAN,NAN,{'比利时'}
102294,Erich Rmer,男,NAN,NAN,{'德国'}
102355,Igor Anatolyevich Romishevsky,男,177.0,80.0,{'俄罗斯'}
102356,Gianni Petrus Cornelis Romme,男,190.0,85.0,{'荷兰'}
102358,Frank Rommel,男,185.0,80.0,{'德国'}
102366,"Robert Edward ""Bob"" Rompre",男,NAN,NAN,{'美国'}
102371,Kevin Romy,男,182.0,86.0,{'瑞士'}
102372,Bjrn Einar Romren,男,183.0,64.0,{'挪威'}
102374,Lszl Rna,男,NAN,NAN,{'匈牙利'}
102387,Adrin Roncallo,男,NAN,NAN,{'阿根廷'}
102390,Gian Carlo Ronchetti,男,NAN,NAN,{'意大利'}
102411,Mikko Tapani Ronkainen,男,166.0,64.0,{'芬兰'}
102412,Kenth Reinert Rnn,男,177.0,78.0,{'瑞典'}
102413,Jesper Johannes Rnnbck,男,181.0,81.0,{'瑞典'}
102418,Bernt Assar Rnnlund,男,177.0,68.0,{'瑞典'}
102426,Amde Ronzel,男,NAN,NAN,{'法国'}
102432,Jilleanne Rookard,女,160.0,59.0,{'美国'}
102459,Maria Elisabeth Rooth,女,176.0,72.0,{'瑞典'}
102462,Louis C. Rooy,男,NAN,NAN,{'比利时'}
102464,"Donald Stephen ""Don"" Rope",男,178.0,70.0,{'加拿大'}
102471,Mauri Uolevi Rppnen,男,176.0,71.0,{'芬兰'}
102472,Yevgeniya Ivanovna Roppel,女,NAN,NAN,{'吉尔吉斯斯坦'}
102493,Jaime Ros Puig-Subir,男,NAN,NAN,{'西班牙'}
102511,Douglas Rosado,男,NAN,NAN,{'波多黎各'}
102514,Guillermo Rosal Bertrand,男,182.0,81.0,{'西班牙'}
102532,"Michael Anthony ""Mike"" Rosati",男,178.0,82.0,{'意大利'}
102539,Eberhard Rsch,男,NAN,NAN,{'德国'}
102540,Hans Rsch,男,170.0,80.0,{'德国'}
102541,Michael Rsch,男,184.0,78.0,{'德国'}
102580,Emily Rosemond,女,168.0,63.0,{'澳大利亚'}
102581,"Adam Joseph ""AJ"" Rosen",男,188.0,80.0,{'英国'}
102597,Ann Janeth Margareta Rosendahl (-Torstensson),女,159.0,58.0,{'瑞典'}
102600,Risto Paavo Ilmari Rosendahl,男,187.0,85.0,{'芬兰'}
102601,Vesa Jaakko Tapani Rosendahl,男,185.0,85.0,{'芬兰'}
102602,Jason Rosener,男,183.0,98.0,{'美国'}
102611,Luis Rosenkjer,男,NAN,NAN,{'阿根廷'}
102612,Pablo Rosenkjer,男,NAN,NAN,{'阿根廷'}
102630,Yevgeny Yevgenyevich Roshchin,男,187.0,92.0,{'白俄罗斯'}
102633,Tatyana Andreyevna Roshchina-Osipova,女,171.0,56.0,{'哈萨克斯坦'}
102636,Magorzata Anna Rosiak,女,170.0,67.0,{'波兰'}
102662,Ilya Sergeyevich Roslyakov,男,185.0,65.0,{'俄罗斯'}
102666,Hertha Rosmini,女,NAN,NAN,{'奥地利'}
102670,Petr Rosol,男,178.0,78.0,{'捷克共和国'}
102678,Andrew Angus Ross,男,185.0,96.0,{'新西兰'}
102686,"Donald Francis ""Don"" Ross",男,180.0,83.0,{'美国'}
102687,"Douglas George ""Doug"" Ross",男,175.0,80.0,{'美国'}
102689,Gary Charles Ross,男,182.0,90.0,{'美国'}
102698,Laurenne Ross,女,173.0,68.0,{'美国'}
102701,"Michael James ""Mickey"" Ross",男,179.0,83.0,{'新西兰'}
102705,Patricia Ross,女,173.0,59.0,{'美国'}
102709,"Thomas Cochrane ""Tommy"" Ross",男,171.0,70.0,{'英国'}
102711,"Elbridge Baker Ross, Jr.",男,NAN,NAN,{'美国'}
102721,Roger Rossat-Mignod,男,175.0,73.0,{'法国'}
102725,Claudina Rossel Badia,女,NAN,NAN,{'安道尔'}
102726,Ramon Rossell Mas,男,167.0,64.0,{'安道尔'}
102729,Robert Rosser,男,178.0,75.0,{'美国'}
102751,Franco Rossi,男,NAN,NAN,{'意大利'}
102767,"Ronald A ""Ron"" Rossi",男,183.0,93.0,{'美国'}
102770,Susan Rossi,女,162.0,59.0,{'加拿大'}
102772,"Teofilo Guiscardo ""Theo"" Rossi Di Montelera",男,165.0,NAN,{'意大利'}
102783,Jan Rossiter,男,183.0,76.0,{'爱尔兰'}
102787,"Alfred ""Fred"" Rssner",男,NAN,NAN,{'奥地利'}
102807,Adolf Rsti,男,173.0,65.0,{'瑞士'}
102811,"Marlies Rostock (-Dotzauer, -Fraas)",女,NAN,NAN,{'德国'}
102815,Pavel Aleksandrovich Rostovtsev,男,187.0,80.0,{'俄罗斯'}
102826,Massimiliano Rota,男,178.0,93.0,{'意大利'}
102832,Mauricio Rotella,男,NAN,NAN,{'智利'}
102833,Karin Roten (-Meier),女,167.0,56.0,{'瑞士'}
102834,Sverre Solaas Rotevatn,男,176.0,65.0,{'挪威'}
102836,Denise Roth,女,164.0,60.0,{'德国'}
102844,Hansruedi Roth,男,176.0,71.0,{'瑞士'}
102849,Peter Roth,男,180.0,78.0,{'德国'}
102857,Andr Rtheli,男,186.0,87.0,{'瑞士'}
102862,Christa Rothenburger-Luding,女,164.0,60.0,{'德国'}
102869,Ingrid Rothfu,女,162.0,53.0,{'德国'}
102872,Hans Rothkirch,男,177.0,73.0,{'德国'}
102877,Nadia Rthlisberger (Raspe-),女,179.0,82.0,{'瑞士'}
102881,"Thomas ""Tom"" Rothrock",男,180.0,89.0,{'美国'}
102898,Mario Rottaris,男,188.0,86.0,{'瑞士'}
102901,Hans Rottensteiner,男,NAN,NAN,{'奥地利'}
102902,Thomas Rottensteiner,男,188.0,87.0,{'意大利'}
102903,Emlia Rotter (-Szmolr),女,NAN,NAN,{'匈牙利'}
102908,Wolfgang Rottmann,男,189.0,81.0,{'奥地利'}
102933,Lauriane Rougeau,女,173.0,75.0,{'加拿大'}
102956,Jorge Roura Bonnet,男,NAN,NAN,{'西班牙'}
102969,"Joseph Jean-Paul Robert ""Bobby"" Rousseau",男,178.0,81.0,{'加拿大'}
102973,Johan Rousseau,男,180.0,86.0,{'法国'}
102979,Pierre-Alexandre Rousseau,男,174.0,68.0,{'加拿大'}
102983,Claude Roussel,男,179.0,84.0,{'法国'}
102987,Alexandre Rousselet,男,186.0,79.0,{'法国'}
